framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SL_tpc,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SH_tpc,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,SF_tpc,max_conv_length,comment
defects4j,Chart,18,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,1,450,1,1,1,200,0,0,1,1,464,1,1,1,200,0,0,1,1,431,1,1,1,100,0,0,1,3,
defects4j,Chart,21,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,,,,,,,,,,0,100897,,,200,200,0,200,200,0,47990,,,100,100,0,100,100,3,
defects4j,Chart,24,SL SH SF,0,115628,,,200,200,0,200,200,0,128765,,,200,200,0,200,200,1,537,1,1,1,100,0,0,1,3,
defects4j,Chart,25,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,,,,,,,,,,,,,,,,,,,1,2651,1,1,1,100,0,0,1,3,
defects4j,Closure,1,SH SF,,,,,,,,,,0,259814,,,200,200,0,200,200,0,132087,,,100,100,18,82,100,3,
defects4j,Closure,2,SF,,,,,,,,,,,,,,,,,,,1,775,1,1,1,100,0,0,1,3,
defects4j,Closure,3,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,,,,,,,,,,,,,,,,,,,0,116345,,,100,100,44,56,100,3,
defects4j,Closure,5,SH SF,,,,,,,,,,1,42666,23,2,23,200,0,22,23,0,261762,,,100,100,29,71,100,3,
defects4j,Closure,6,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,,,,,,,,,,,,,,,,,,,0,78212,,,100,100,44,56,100,3,
defects4j,Closure,8,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,1,24470,51,3,51,200,4,46,51,1,27572,46,1,46,200,3,42,46,1,70152,94,1,94,100,13,80,94,3,
defects4j,Closure,11,SH SF,,,,,,,,,,0,108670,,,200,200,0,200,200,0,47494,,,100,100,0,100,100,3,
defects4j,Closure,12,SH SF,,,,,,,,,,0,108629,,,200,200,1,199,200,1,1920,4,1,4,100,0,3,4,3,
defects4j,Closure,13,SF,,,,,,,,,,,,,,,,,,,1,12488,13,1,13,100,1,11,13,3,
defects4j,Closure,14,SL SH SF,1,240476,173,2,173,200,53,119,173,0,312670,,,200,200,39,161,200,0,285194,,,100,100,16,84,100,3,
defects4j,Closure,15,SH SF,,,,,,,,,,0,173275,,,200,200,36,164,200,0,110429,,,100,100,32,68,100,3,
defects4j,Closure,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,17,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,1,20492,13,1,13,200,1,11,13,1,72443,37,1,37,200,7,29,37,0,174601,,,100,100,6,94,100,3,
defects4j,Closure,19,SF,,,,,,,,,,,,,,,,,,,1,12277,13,1,13,100,0,12,13,3,
defects4j,Closure,20,SH SF,,,,,,,,,,0,179784,,,200,200,0,200,200,1,44589,41,2,41,100,14,26,41,3,
defects4j,Closure,21,SF,,,,,,,,,,,,,,,,,,,0,228455,,,100,100,44,56,100,3,
defects4j,Closure,22,SF,,,,,,,,,,,,,,,,,,,1,40582,17,2,17,100,9,7,17,3,
defects4j,Closure,23,SF,,,,,,,,,,,,,,,,,,,0,149127,,,100,100,43,57,100,3,
defects4j,Closure,24,SF,,,,,,,,,,,,,,,,,,,0,113713,,,100,100,47,53,100,3,
defects4j,Closure,25,SF,,,,,,,,,,,,,,,,,,,0,124987,,,100,100,21,79,100,3,
defects4j,Closure,26,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,27,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,28,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,,,,,,,,,,,,,,,,,,,0,222046,,,100,100,33,67,100,3,
defects4j,Closure,30,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,1,41169,22,1,22,200,1,20,22,1,6557,4,1,4,200,0,3,4,0,218688,,,100,100,3,97,100,3,
defects4j,Closure,32,SF,,,,,,,,,,,,,,,,,,,0,233927,,,100,100,49,51,100,3,
defects4j,Closure,33,SH SF,,,,,,,,,,0,173671,,,200,200,37,163,200,0,112539,,,100,100,6,94,100,3,
defects4j,Closure,34,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,,,,,,,,,,0,216577,,,200,200,0,200,200,0,124743,,,100,100,0,100,100,3,
defects4j,Closure,36,SH SF,,,,,,,,,,1,200868,163,1,163,200,2,160,163,1,65676,37,1,37,100,5,31,37,3,
defects4j,Closure,37,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,0,139778,,,200,200,52,148,200,0,190050,,,200,200,19,181,200,1,4191,4,1,4,100,3,0,4,3,
defects4j,Closure,39,SF,,,,,,,,,,,,,,,,,,,0,127838,,,100,100,38,62,100,3,
defects4j,Closure,40,SF,,,,,,,,,,,,,,,,,,,1,117437,81,3,81,100,22,58,81,3,
defects4j,Closure,41,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,,,,,,,,,,,,,,,,,,,0,202066,,,100,100,1,99,100,3,
defects4j,Closure,43,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,,,,,,,,,,,,,,,,,,,1,652,1,1,1,100,0,0,1,3,
defects4j,Closure,45,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,46,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,,,,,,,,,,,,,,,,,,,0,345012,,,100,100,10,90,100,3,
defects4j,Closure,49,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,50,SF,,,,,,,,,,,,,,,,,,,0,272528,,,100,100,17,83,100,3,
defects4j,Closure,51,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,52,SL SH SF,1,3492,7,1,7,200,5,1,7,1,10548,17,2,17,200,5,11,17,1,4616,7,1,7,100,5,1,7,3,
defects4j,Closure,53,SF,,,,,,,,,,,,,,,,,,,0,162070,,,100,100,38,62,100,3,
defects4j,Closure,54,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,,,,,,,,,,1,17574,31,1,31,200,2,28,31,0,57528,,,100,100,5,95,100,3,
defects4j,Closure,56,SF,,,,,,,,,,,,,,,,,,,1,938,1,1,1,100,0,0,1,3,
defects4j,Closure,57,SL SH SF,1,23756,43,1,43,200,0,42,43,0,137722,,,200,200,0,200,200,1,1273,2,2,2,100,0,1,2,3,
defects4j,Closure,58,SF,,,,,,,,,,,,,,,,,,,0,222491,,,100,100,47,53,100,3,
defects4j,Closure,59,SH SF,,,,,,,,,,1,133285,127,1,127,200,0,126,127,0,189117,,,100,100,41,59,100,3,
defects4j,Closure,60,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,61,SH SF,,,,,,,,,,1,750,1,1,1,200,0,0,1,1,31226,19,1,19,100,4,14,19,3,
defects4j,Closure,62,SL SH SF,1,24493,32,2,32,200,4,27,32,1,733,1,1,1,200,0,0,1,1,66307,45,3,45,100,17,27,45,3,
defects4j,Closure,64,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,65,SL SH SF,1,104869,90,3,90,200,57,32,90,0,330239,,,200,200,44,156,200,0,225612,,,100,100,84,16,100,3,
defects4j,Closure,66,SF,,,,,,,,,,,,,,,,,,,0,51794,,,100,100,0,100,100,3,
defects4j,Closure,67,SL SH SF,1,4901,9,3,9,200,3,5,9,0,151345,,,200,200,2,198,200,0,83838,,,100,100,63,37,100,3,
defects4j,Closure,68,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,69,SH SF,,,,,,,,,,0,215990,,,200,200,0,200,200,0,179825,,,100,100,3,97,100,3,
defects4j,Closure,70,SL SH SF,1,2313,4,1,4,200,0,3,4,1,17629,25,1,25,200,3,21,25,0,110334,,,100,100,9,91,100,3,
defects4j,Closure,71,SL SH SF,0,249560,,,200,200,20,180,200,0,291034,,,200,200,1,199,200,0,269073,,,100,100,21,79,100,3,
defects4j,Closure,72,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,73,SL SH SF,1,31890,28,1,28,200,9,18,28,0,275128,,,200,200,1,199,200,1,5443,3,3,3,100,1,1,3,3,
defects4j,Closure,74,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,75,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,76,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,77,SL SH SF,1,9247,7,1,7,200,1,5,7,1,1000,1,1,1,200,0,0,1,1,34073,15,3,15,100,12,2,15,3,
defects4j,Closure,78,SF,,,,,,,,,,,,,,,,,,,1,130301,55,1,55,100,25,29,55,3,
defects4j,Closure,79,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,80,SL SH SF,0,208378,,,200,200,0,200,200,0,232143,,,200,200,0,200,200,0,191940,,,100,100,0,100,100,3,
defects4j,Closure,81,SH SF,,,,,,,,,,0,448470,,,200,200,11,189,200,0,294839,,,100,100,2,98,100,3,
defects4j,Closure,82,SH SF,,,,,,,,,,0,106726,,,200,200,31,169,200,0,56977,,,100,100,22,78,100,3,
defects4j,Closure,83,SH SF,,,,,,,,,,1,92700,115,1,115,200,0,114,115,0,82175,,,100,100,10,90,100,3,
defects4j,Closure,84,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,85,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,86,SL SH SF,1,121723,99,3,99,200,3,95,99,1,89180,69,3,69,200,0,68,69,1,20007,10,1,10,100,4,5,10,3,
defects4j,Closure,87,SF,,,,,,,,,,,,,,,,,,,0,98639,,,100,100,19,81,100,3,
defects4j,Closure,88,SF,,,,,,,,,,,,,,,,,,,0,120555,,,100,100,21,79,100,3,
defects4j,Closure,89,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,90,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,91,SH SF,,,,,,,,,,0,286906,,,200,200,28,172,200,0,211915,,,100,100,14,86,100,3,
defects4j,Closure,92,SL SH SF,1,807,1,1,1,200,0,0,1,1,7944,7,1,7,200,1,5,7,0,156579,,,100,100,24,76,100,3,
defects4j,Closure,94,SF,,,,,,,,,,,,,,,,,,,1,3785,4,1,4,100,0,3,4,3,
defects4j,Closure,95,SF,,,,,,,,,,,,,,,,,,,0,245727,,,100,100,17,83,100,3,
defects4j,Closure,96,SF,,,,,,,,,,,,,,,,,,,0,144477,,,100,100,8,92,100,3,
defects4j,Closure,97,SH SF,,,,,,,,,,1,18677,18,3,18,200,0,17,18,1,27297,15,3,15,100,7,7,15,3,
defects4j,Closure,98,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,99,SF,,,,,,,,,,,,,,,,,,,0,171276,,,100,100,25,75,100,3,
defects4j,Closure,100,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,101,SF,,,,,,,,,,,,,,,,,,,1,19487,22,1,22,100,1,20,22,3,
defects4j,Closure,102,SF,,,,,,,,,,,,,,,,,,,1,37160,47,2,47,100,28,18,47,3,
defects4j,Closure,103,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,104,SL SH SF,0,162150,,,200,200,10,190,200,1,80336,59,2,59,200,0,58,59,0,129719,,,100,100,0,100,100,3,
defects4j,Closure,105,SF,,,,,,,,,,,,,,,,,,,0,243661,,,100,100,34,66,100,3,
defects4j,Closure,106,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,107,SL SH SF,1,64880,73,1,73,200,22,50,73,1,162911,142,1,142,200,24,117,142,0,174934,,,100,100,13,87,100,3,
defects4j,Closure,108,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,109,SH SF,,,,,,,,,,1,28996,46,1,46,200,0,45,46,1,3274,5,2,5,100,0,4,5,3,
defects4j,Closure,110,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,111,SH SF,,,,,,,,,,0,117455,,,200,200,8,192,200,0,51268,,,100,100,25,75,100,3,
defects4j,Closure,112,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,113,SL SH SF,0,164357,,,200,200,72,128,200,0,223323,,,200,200,19,181,200,0,144217,,,100,100,47,53,100,3,
defects4j,Closure,114,SL SH SF,1,55980,64,1,64,200,18,45,64,1,12154,13,1,13,200,1,11,13,0,137087,,,100,100,36,64,100,3,
defects4j,Closure,115,SF,,,,,,,,,,,,,,,,,,,0,214980,,,100,100,26,74,100,3,
defects4j,Closure,116,SF,,,,,,,,,,,,,,,,,,,0,196406,,,100,100,50,50,100,3,
defects4j,Closure,117,SF,,,,,,,,,,,,,,,,,,,0,176086,,,100,100,31,69,100,3,
defects4j,Closure,118,SH SF,,,,,,,,,,0,194523,,,200,200,26,174,200,0,115981,,,100,100,28,72,100,3,
defects4j,Closure,119,SL SH SF,1,162367,115,1,115,200,10,104,115,0,372304,,,200,200,12,188,200,1,40808,16,1,16,100,1,14,16,3,
defects4j,Closure,120,SH SF,,,,,,,,,,0,220024,,,200,200,9,191,200,0,138588,,,100,100,8,92,100,3,
defects4j,Closure,121,SF,,,,,,,,,,,,,,,,,,,0,219823,,,100,100,30,70,100,3,
defects4j,Closure,122,SH SF,,,,,,,,,,1,11501,19,1,19,200,1,17,19,1,3823,5,2,5,100,3,1,5,3,
defects4j,Closure,123,SL SH SF,0,87740,,,200,200,0,200,200,0,115189,,,200,200,0,200,200,0,50129,,,100,100,0,100,100,3,
defects4j,Closure,124,SF,,,,,,,,,,,,,,,,,,,1,566,1,1,1,100,0,0,1,3,
defects4j,Closure,125,SL SH SF,1,9847,16,1,16,200,6,9,16,0,162175,,,200,200,1,199,200,1,1766,2,2,2,100,1,0,2,3,
defects4j,Closure,126,SH SF,,,,,,,,,,1,39141,25,1,25,200,1,23,25,0,311196,,,100,100,10,90,100,3,
defects4j,Closure,127,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,128,SF,,,,,,,,,,,,,,,,,,,1,516,1,1,1,100,0,0,1,3,
defects4j,Closure,129,SH SF,,,,,,,,,,0,162535,,,200,200,8,192,200,1,650,1,1,1,100,0,0,1,3,
defects4j,Closure,130,SL SH SF,0,166420,,,200,200,16,184,200,0,243599,,,200,200,0,200,200,0,160453,,,100,100,18,82,100,3,
defects4j,Closure,131,SF,,,,,,,,,,,,,,,,,,,1,1424,2,2,2,100,1,0,2,3,
defects4j,Closure,132,SH SF,,,,,,,,,,0,526397,,,200,200,35,165,200,0,391759,,,100,100,8,92,100,3,
defects4j,Closure,133,SL SH SF,0,102383,,,200,200,10,190,200,0,120280,,,200,200,2,198,200,0,59190,,,100,100,46,54,100,3,
defects4j,Closure,134,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,135,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,136,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,137,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,138,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,139,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,140,SL SH SF,0,140781,,,200,200,0,200,200,0,177710,,,200,200,0,200,200,0,108033,,,100,100,0,100,100,3,
defects4j,Closure,141,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,142,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,143,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,144,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,145,SF,,,,,,,,,,,,,,,,,,,1,66146,87,3,87,100,48,38,87,3,
defects4j,Closure,146,SH SF,,,,,,,,,,0,134082,,,200,200,30,170,200,0,85424,,,100,100,21,79,100,3,
defects4j,Closure,147,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,148,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,149,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,150,SH SF,,,,,,,,,,0,155406,,,200,200,82,118,200,0,94692,,,100,100,43,57,100,3,
defects4j,Closure,151,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,152,SH SF,,,,,,,,,,1,17830,19,1,19,200,0,18,19,1,110626,83,2,83,100,6,76,83,3,
defects4j,Closure,153,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,154,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,155,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,156,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,157,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,158,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,159,SH SF,,,,,,,,,,0,153528,,,200,200,0,200,200,1,8478,11,2,11,100,7,3,11,3,
defects4j,Closure,160,SF,,,,,,,,,,,,,,,,,,,0,174610,,,100,100,31,69,100,3,
defects4j,Closure,161,SH SF,,,,,,,,,,1,26383,22,1,22,200,3,18,22,0,146391,,,100,100,35,65,100,3,
defects4j,Closure,162,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,163,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,164,SF,,,,,,,,,,,,,,,,,,,0,226870,,,100,100,18,82,100,3,
defects4j,Closure,165,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,166,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,167,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,168,SL SH SF,1,747,1,1,1,200,0,0,1,1,42167,34,1,34,200,1,32,34,1,146263,85,1,85,100,32,52,85,3,
defects4j,Closure,169,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,170,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,171,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,172,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,173,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,174,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,175,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,176,SF,,,,,,,,,,,,,,,,,,,0,253821,,,100,100,0,100,100,3,
defects4j,Lang,1,SF,,,,,,,,,,,,,,,,,,,0,375969,,,100,100,23,77,100,3,
defects4j,Lang,3,SF,,,,,,,,,,,,,,,,,,,1,325620,88,1,88,100,27,60,88,3,
defects4j,Lang,4,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Lang,5,SF,,,,,,,,,,,,,,,,,,,0,140029,,,100,100,85,15,100,3,
defects4j,Lang,6,SL SH SF,0,133267,,,200,200,112,88,200,0,155560,,,200,200,87,113,200,0,106756,,,100,100,80,20,100,3,
defects4j,Lang,7,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Lang,8,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Lang,9,SH SF,,,,,,,,,,0,177736,,,200,200,87,113,200,0,124451,,,100,100,49,51,100,3,
defects4j,Lang,10,SF,,,,,,,,,,,,,,,,,,,0,99926,,,100,100,52,48,100,3,
defects4j,Lang,11,SH SF,,,,,,,,,,0,225310,,,200,200,146,54,200,1,23722,13,1,13,100,11,1,13,3,
defects4j,Lang,12,SF,,,,,,,,,,,,,,,,,,,1,1197,1,1,1,100,0,0,1,3,
defects4j,Lang,13,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Lang,14,SF,,,,,,,,,,,,,,,,,,,1,360,1,1,1,100,0,0,1,3,
defects4j,Lang,15,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Lang,16,SL SH SF,1,3153,2,2,2,200,1,0,2,1,35556,19,1,19,200,1,17,19,1,2662,1,1,1,100,0,0,1,3,
defects4j,Lang,17,SF,,,,,,,,,,,,,,,,,,,0,105391,,,100,100,59,41,100,3,
defects4j,Lang,18,SF,,,,,,,,,,,,,,,,,,,0,298279,,,100,100,27,73,100,3,
defects4j,Lang,19,SF,,,,,,,,,,,,,,,,,,,0,151239,,,100,100,98,2,100,3,
defects4j,Lang,20,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Lang,21,SL SH SF,1,602,1,1,1,200,0,0,1,1,577,1,1,1,200,0,0,1,1,679,1,1,1,100,0,0,1,3,
defects4j,Lang,22,SF,,,,,,,,,,,,,,,,,,,1,23848,15,3,15,100,6,8,15,3,
defects4j,Lang,23,OT,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
